{key='RU,RI,001,563437.b88b70f833c43a30f69ff3034d010bae', nation='RU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=563437, taxCarrier='YY', taxAmount=4.38, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='LC,KS,001,2537.2ec661323abff5f707bd9ed826821ff1', nation='LC', taxCode='KS', percentOrFlatTag=Flat Tax, seqNo=2537, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BS,C9,004,110625.4a6055958c1ae78f02691021a7e113b2', nation='BS', taxCode='C9', percentOrFlatTag=Percent Tax, seqNo=110625, taxCarrier='WS', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GB,UB,001,4331248.f97b7edd6f7e1e28de60dd2d40001b4b', nation='GB', taxCode='UB', percentOrFlatTag=Flat Tax, seqNo=4331248, taxCarrier='EK', taxAmount=22.50, taxAmountCurrency='GBP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GB,UB,001,4331248.12f247fa7128c036e28340e4fcc4268b', nation='GB', taxCode='UB', percentOrFlatTag=Flat Tax, seqNo=4331248, taxCarrier='EK', taxAmount=22.50, taxAmountCurrency='GBP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,615000.2245a9431a0fe63e12a06456c7500b72', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=615000, taxCarrier='YY', taxAmount=1.31, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CH,AP,004,93756.8f3d96352cda878ee7f71534abd4ca36', nation='CH', taxCode='AP', percentOrFlatTag=Flat Tax, seqNo=93756, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,615000.ff0c766d44ccbf3bd03b20c68ef501bc', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=615000, taxCarrier='YY', taxAmount=1.29, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GR,GR,003,700000.ccd0e22ed19024b77af505ce0222e199', nation='GR', taxCode='GR', percentOrFlatTag=Flat Tax, seqNo=700000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CA,SQ,001,16250.8c96b9df4192c1066bebf31072ebbcde', nation='CA', taxCode='SQ', percentOrFlatTag=Flat Tax, seqNo=16250, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='US,US,014,7897.f10232ab52d156c1eb5eb72a09b5a8aa', nation='US', taxCode='US', percentOrFlatTag=Flat Tax, seqNo=7897, taxCarrier='QR', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='RU,RI,004,872343.556baf422e0e4571a5c5c299ddc4c845', nation='RU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=872343, taxCarrier='YY', taxAmount=311, taxAmountCurrency='RUB', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
