{key='KZ,UJ,001,328125.2fc84e2c108e6c0a0ab7cd12476411f2', nation='KZ', taxCode='UJ', percentOrFlatTag=Flat Tax, seqNo=328125, taxCarrier='YY', taxAmount=3960.00, taxAmountCurrency='KZT', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IT,IT,003,1250000.81f3fb8fa36bfed3ad0ac55841acf790', nation='IT', taxCode='IT', percentOrFlatTag=Flat Tax, seqNo=1250000, taxCarrier='YY', taxAmount=7.62, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='KZ,UJ,001,328125.0ab1ae2f1203ccb871a7695aa634afb6', nation='KZ', taxCode='UJ', percentOrFlatTag=Flat Tax, seqNo=328125, taxCarrier='YY', taxAmount=4280.00, taxAmountCurrency='KZT', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,QW,001,370000.952e4dd0a4c5f6c619d0050a1020b532', nation='FR', taxCode='QW', percentOrFlatTag=Flat Tax, seqNo=370000, taxCarrier='YY', taxAmount=4.40, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='XU,RI,002,496523.8d464ca7a56a7e75bf9943d4b784a97c', nation='XU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=496523, taxCarrier='YY', taxAmount=51, taxAmountCurrency='RUB', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PR,YC,001,39123.902ef5cfa513bc7b9f46cbb505a38a42', nation='PR', taxCode='YC', percentOrFlatTag=Flat Tax, seqNo=39123, taxCarrier='WS', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='XU,RI,001,476250.cd0af0db4a4a7aa11bf194b0dd388a9a', nation='XU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=476250, taxCarrier='YY', taxAmount=5.00, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PE,PE,107,50050.9f662d20eb3091537fc09786bd184923', nation='PE', taxCode='PE', percentOrFlatTag=Percent Tax, seqNo=50050, taxCarrier='AC', taxAmount=null, taxAmountCurrency='null', taxPercent=18.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CR,OU,100,102500.4503e40d6bc7519abae208d521f05734', nation='CR', taxCode='OU', percentOrFlatTag=Percent Tax, seqNo=102500, taxCarrier='AS', taxAmount=null, taxAmountCurrency='null', taxPercent=5.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='VC,VC,001,115000.10bfb917a0f2b252b998a28c36f8e50f', nation='VC', taxCode='VC', percentOrFlatTag=Percent Tax, seqNo=115000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=5.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
